Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6245019028,DOWNEY,24.0,4.0,0.13794943262,7.2,6245019028,33.9254786,-118.1518675
6245019029,DOWNEY,24.0,4.0,0.13780067048,7.2,6245019029,33.92539351,-118.1516981
6246012003,DOWNEY,24.0,11.0,0.3586928103,19.8,6246012003,33.93682717,-118.1486466
6246012033,DOWNEY,24.0,4.0,0.12533173984,7.2,6246012033,33.93729049,-118.1497922
6246012034,DOWNEY,24.0,4.0,0.12821363459,7.2,6246012034,33.93715921,-118.1495573
6246012036,DOWNEY,24.0,4.0,0.13371904439,7.2,6246012036,33.93747732,-118.1493318
6246013013,DOWNEY,24.0,6.0,0.1822739554,10.8,6246013013,33.93794921,-118.1504118
6245019001,DOWNEY,24.0,4.0,0.11390657673,7.2,6245019001,33.92533741,-118.1514114
6246012014,DOWNEY,24.0,5.0,0.15733857019,9.0,6246012014,33.93788905,-118.1502373
6246012028,DOWNEY,24.0,7.0,0.23357944499,12.6,6246012028,33.93666496,-118.1487692
6246012035,DOWNEY,24.0,4.0,0.1337297714,7.2,6246012035,33.93731671,-118.1494459
6245019027,DOWNEY,24.0,4.0,0.13787329584,7.2,6245019027,33.92556389,-118.152037
6246001001,DOWNEY,24.0,12.0,0.38352483894,21.6,6246001001,33.93549666,-118.1460909
6246001002,DOWNEY,24.0,13.0,0.39191024543,23.4,6246001002,33.93539335,-118.1458916
6246012012,DOWNEY,24.0,5.0,0.15302374564,9.0,6246012012,33.93780429,-118.1500818
6246012015,DOWNEY,24.0,6.0,0.18306826582,10.8,6246012015,33.93695394,-118.1484024
6246012031,DOWNEY,24.0,4.0,0.13348990897,7.2,6246012031,33.937607,-118.1495679
6246013015,DOWNEY,24.0,6.0,0.17765843741,10.8,6246013015,33.93803537,-118.1505647
6251018005,DOWNEY,24.0,5.0,0.14875775248,9.0,6251018005,33.94382684,-118.1383842
